MWE,Category,POS 1,POS 2
dining_room,c,noun,
disc_brake,c,noun,
disk_drive,c,noun,
display_window,c,noun,
distilled_water,c,noun,
dive_bomber,c,noun,
divine_service,c,noun,
dog_food,c,noun,
doll_'s_house,s,noun,
domestic_science,c,noun,
domestic_violence,c,noun,
dominican_republic,pn,noun,
donald_duck,pn,noun,
donets_basin,pn,noun,
double_bed,c,noun,
down_payment,c,noun,
dr_congo,pn,noun,
drive_off,ffi,verb,
drop_by,ffi,verb,
dry_season,c,noun,
due_date,c,noun,
dung_beetle,c,noun,
early_childhood,s,noun,
east_germany,pn,noun,
easter_egg,c,noun,
eastern_roman_empire,pn,noun,
eating_disorder,c,noun,
eau_de_cologne,ffi,noun,
economic_growth,c,noun,
egg_-_shaped,c,noun,
egg_cell,c,noun,
egg_white,c,noun,
eke_out,ffi,noun,
electric_chair,c,noun,
electrical_engineering,c,noun,
electron_microscope,c,noun,
electronic_mail,c,noun,
elementary_school,c,noun,
emergency_brake,c,noun,
employment_agency,c,noun,
employment_contract,c,noun,
end_of_the_world,s,noun,
engagement_ring,c,noun,
enteric_fever,c,noun,
environmental_science,c,noun,
escort_agency,c,noun,
essential_oil,c,noun,
estate_car,c,noun,
estate_tax,c,noun,
ethnic_cleansing,c,noun,
euclidean_geometry,c,noun,
euclidean_space,c,noun,
european_perch,c,noun,
evening_primrose,c,noun,
evening_star,c,noun,
every_so_often,ffi,adv,
evil_eye,c,noun,
ex_libris,ffi,noun,
exchange_of_letters,s,noun,
exclamation_mark,c,noun,
exhaust_pipe,c,noun,
extension_cord,c,noun,
extra_time,s,noun,
eye_socket,c,noun,
facial_hair,c,noun,
fairy_tale,c,noun,
fait_accompli,ffi,noun,
fall_apart,ffi,verb,
fall_asleep,ffi,verb,
fall_guy,c,noun,
fallow_deer,c,noun,
family_business,c,noun,
far_-_flung,c,adj,
farm_worker,c,noun,
faroe_islands,c,noun,
fed_up,ffi,adj,
federal_government,pn,noun,
federated_states_of_micronesia,pn,noun,
female_circumcision,c,noun,
femme_fatale,pn,noun,
festival_of_lights,s,noun,
field_marshal,c,noun,
field_mouse,c,noun,
fighter_pilot,c,noun,
figure_of_speech,s,noun,
fill_out,ffi,verb,
find_out,ffi,verb,
fine_arts,c,noun,
fire_alarm,c,noun,
fire_extinguisher,c,noun,
first_gear,c,noun,
first_language,c,noun,
first_name,c,noun,
first_of_all,ffi,adv,
first_up,ffi,adv,
fiscal_deficit,c,noun,
fiscal_year,c,noun,
fission_bomb,c,noun,
fixed_disk,c,noun,
flash_flood,c,noun,
flat_cap,c,noun,
focal_point,c,noun,
food_additive,c,noun,
food_chain,c,noun,
food_colouring,c,noun,
food_court,c,noun,
fool_'s_gold,s,noun,
fore_-_and_-_aft,s,adv,
forest_fire,c,noun,
forget_-_me_-_not,ffi,noun,
formic_acid,c,noun,
fortified_wine,c,noun,
fountain_pen,c,noun,
four_-_stroke_engine,c,noun,
four_-dimensional,c,adj,
fox_terrier,c,noun,
free_of_charge,ffi,adj,adv
free_throw,c,noun,
freedom_fighter,c,noun,
freedom_of_religion,s,noun,
freedom_of_the_press,s,noun,
french_kiss,c,noun,
fried_rice,c,noun,
friuli-venezia_giulia,pn,noun,
from_scratch,s,adv,
frontal_bone,c,noun,
fruit_fly,c,noun,
fruit_juice,c,noun,
fruit_salad,c,noun,
fruit_tree,c,noun,
full_-_fledged,c,adj,
full_house,ffi,noun,
full_moon,c,noun,
full_stop,c,noun,
fully_grown,c,noun,
fusion_reactor,c,noun,
futures_contract,c,noun,
gall_bladder,c,noun,
game_of_chance,ffi,noun,
game_theory,c,noun,
garbage_can,c,noun,
gas_chamber,c,noun,
gas_pump,c,noun,
gastric_acid,c,noun,
gather_together,ffi,verb,
gear_wheel,c,noun,
general_election,c,noun,
general_practitioner,c,noun,
general_relativity,c,noun,
genghis_khan,pn,noun,
german_democratic_republic,pn,noun,
german_mark,c,noun,
get_rid_of,ffi,verb,
ghost_ship,c,noun,
ghost_town,c,noun,
giant_lizard,c,noun,
giant_panda,c,noun,
giant_squid,c,noun,
give_a_damn,ffi,verb,
given_name,c,noun,
global_positioning_system,c,noun,
go_back,ffi,verb,
go_out,ffi,verb,
go_wrong,ffi,verb,
goings_-_on,c,noun,
gold_coast,pn,noun,
gold_medal,c,noun,
golden_horde,pn,noun,
golf_course,c,noun,
good_deal,ffi,noun,
good_luck,c,noun,
goose_bumps,pn,noun,
governor_general,c,noun,
grade_crossing,c,noun,
grade_school,c,noun,
graduate_school,c,noun,
graduate_student,c,noun,
grape_juice,c,noun,
grave_accent,c,noun,
gravitational_field,c,noun,
gravitational_force,c,noun,
great_-_nephew,c,noun,
great_barrier_reef,c,noun,
great_bear,c,noun,
great_crested_grebe,c,noun,
great_dane,c,noun,
great_deal,ffi,noun,
great_lakes,pn,noun,
great_white_shark,c,noun,
greco_-_roman,c,adj,
green_light,c,noun,
greenhouse_effect,c,noun,
greenhouse_gas,c,noun,
gross_national_product,c,noun,
ground_beef,c,noun,
ground_forces,c,noun,
ground_nut,c,noun,
grow_up,ffi,verb,
guest_worker,c,noun,
guide_dog,c,noun,
half_-_life,c,noun,
hand_grenade,c,noun,
hand_out,ffi,verb,
hand_over,ffi,verb,
hang_glider,c,noun,
hang_gliding,c,noun,
hang_up,ffi,verb,
hara_-_kiri,ffi,noun,
hard_luck,pn,noun,
hardware_store,c,noun,
have_a_look,ffi,verb,
hay_fever,c,noun,
hazel_nut,c,noun,
head_of_state,s,noun,
health_care,c,noun,
heart_failure,c,noun,
heat_shield,c,noun,
heavy_metal,c,noun,
hedge_fund,c,noun,
herpes_simplex,ffi,noun,
high_energy_physics,c,noun,
high_german,pn,noun,
high_spirits,pn,noun,
high_treason,c,noun,
higher_education,c,noun,
hilbert_space,c,noun,
hinge_on,ffi,verb,
hiv_virus,c,noun,
holding_company,c,noun,
holy_saturday,pn,noun,
holy_water,c,noun,
home_economics,c,noun,
home_page,c,noun,
homeless_person,c,noun,
honey_buzzard,c,noun,
hong_kong,pn,noun,
horizontal_bar,c,noun,
horn_of_africa,s,noun,
horse_racing,c,noun,
hostile_takeover,c,noun,
hot_-_air_balloon,c,noun,
hot_air,c,noun,
hot_chocolate,c,noun,
hot_spring,c,noun,
house_arrest,c,noun,
house_cat,c,noun,
house_mouse,c,noun,
house_of_cards,ffi,noun,
house_of_lords,pn,noun,
hudson_river,pn,noun,
hue_and_cry,ffi,noun,
hugue_not,pn,noun,
human_nature,c,noun,
hunger_strike,c,noun,
huntington_'s_disease,c,noun,
hush_-_hush,ffi,adj,
hydrogen_sulfide,c,noun,
hyoid_bone,c,noun,
ice_age,pn,noun,
ice_cream,c,noun,
ice_hockey,c,noun,
ice_skate,c,verb,noun
ideal_gas,c,noun,
igneous_rock,c,noun,
ill_-_advised,c,adj,
imperative_mood,c,noun,
in_addition,ffi,adv,
in_all_probability,ffi,adv,
in_any_case,ffi,adv,
in_any_event,ffi,adv,
in_chorus,ffi,adv,
in_common,ffi,adv,
in_group,ffi,prep,
in_lieu_of,ffi,prep,
in_pain,ffi,prep,
in_reality,ffi,adv,
in_situ,ffi,adj,adv
in_the_nick_of_time,ffi,adv,
in_this_day_and_age,ffi,adv,
incandescent_lamp,c,noun,
indefinite_article,c,noun,
independent_variable,c,noun,
index_finger,c,noun,
indian_ocean,pn,noun,
indian_rhinoceros,c,noun,
indian_summer,c,noun,
indicative_mood,c,noun,
inert_gas,c,noun,
information_technology,c,noun,
inheritance_tax,c,noun,
inner_circle,c,noun,
inner_city,c,noun,
inorganic_compound,c,noun,
insane_asylum,c,noun,
inside_out,ffi,adv,
instant_coffee,c,noun,
integral_calculus,c,noun,
inter_alia,ffi,adv,
interest_rate,c,noun,
international_agreement,c,noun,
international_system_of_units,s,noun,
intertidal_zone,c,noun,
intervertebral_disc,c,noun,
inverse_function,c,noun,
irish_sea,pn,noun,
iron_hand,ffi,noun,
iron_lung,c,noun,
iron_maiden,ffi,noun,
islamic_republic_of_iran,pn,noun,
isle_of_man,pn,noun,
isosceles_triangle,c,noun,
jack_of_all_trades,ffi,noun,
jack_the_ripper,pn,noun,
james_bond,pn,noun,
jammu_and_kashmir,pn,noun,
jehovah_'s_witness,pn,noun,
jehovah_'s_witnesses,pn,noun,
jelly_bean,c,adj,
jet_-_black,c,adj,
jet_engine,c,noun,
jet_lag,c,noun,
jet_set,c,noun,
jigsaw_puzzle,c,noun,
job_description,s,noun,
john_doe,c,noun,
john_milton,pn,noun,
john_the_baptist,pn,noun,
joint_venture,c,noun,
julian_calendar,pn,noun,
junk_mail,c,noun,
just_in_time,ffi,noun,
kara_sea,pn,noun,
keep_on,ffi,verb,
keep_up,ffi,verb,
khmer_rouge,pn,noun,
kick_out,ffi,verb,
kidney_bean,c,noun,
king_cobra,c,noun,
kingdom_of_belgium,pn,noun,
kingdom_of_norway,pn,noun,
knock_down,ffi,noun,
know_-_it_-_all,s,noun,
korean_war,c,noun,
krebs_cycle,c,noun,
ku_klux_klan,pn,noun,
labor_market,c,noun,
lactic_acid,c,noun,
lake_erie,pn,noun,
lance_corporal,c,noun,
landing_strip,c,noun,
language_barrier,c,noun,
laparoscopic_surgery,c,noun,
laptop_computer,c,noun,
large_-_scale,c,noun,
large_intestine,c,noun,
last_hurrah,c,noun,
last_name,c,noun,
late_latin,c,noun,
